1.0179,0.1913,3.73,0.42,2.511372,,,,,,
1.007,0.1823,3.69,0.41,2.435163,,,,,,
0.5991,0.1014,2.89,0.34,1.193794,,,,,,
0.7478,0.0838,3.26,0.26,1.117865,,,,,,
0.7201,0.1103,3.57,0.43,1.146166,,,,,,
0.5658,0.1316,2.97,0.54,1.303727,,,,,,
0.864,0.1263,3.65,0.42,1.528315,,,,,,
0.7689,0.0859,3.24,0.27,1.157974,,,,,,
0.9122,0.1057,4.87,0.38,1.79322,,,,,,
0.8262,0.0991,3.25,0.24,1.341686,,,,,,
0.5845,0.0871,4.76,0.48,1.205703,,,,,,
0.7021,0.0806,2.94,0.25,1.074254,,,,,,
0.668,0.0698,3.16,0.17,1.063078,,,,,,
0.819,0.0742,3.03,0.18,1.284751,,,,,,
0.613,0.0646,4.17,0.24,1.130021,,,,,,
0.3531,0.0989,3.17,0.66,2.434366,,,,,,
0.5788,0.1365,3.89,0.41,1.286824,,,,,,
0.4323,0.111,3.57,0.45,1.7934,,,,,,
0.872,0.124,3.38,0.38,1.563221,,,,,,
0.8621,0.1606,2.01,0.33,1.567183,,,,,,
0.4209,0.1026,3.83,0.35,1.865481,,,,,,
0.911,0.1205,2.62,0.18,1.778701,,,,,,
0.8581,0.0707,2.57,0.15,1.464173,,,,,,
0.795,0.1542,3.36,0.53,1.358109,,,,,,
0.4709,0.0907,3.25,0.36,1.58404,,,,,,
0.2752,0.0798,2.84,0.24,3.612748,,,,,,
0.6251,0.0793,3.69,0.3,1.123612,,,,,,
0.3799,0.098,3.38,0.25,2.179234,,,,,,
0.7891,0.1744,3.2,0.38,1.394437,,,,,,
0.6489,0.0876,3.45,0.42,1.106771,,,,,,
0.99,0.1406,2.48,0.21,2.381086,,,,,,
0.6501,0.1155,3.52,0.43,1.157182,,,,,,
0.5021,0.1711,3.29,0.43,1.534472,,,,,,
0.746,0.0597,3.43,0.17,1.070056,,,,,,
0.82,0.1565,3.24,0.57,1.424129,,,,,,
0.6089,0.1405,2.81,0.57,1.248703,,,,,,
0.3569,0.0928,3.9,0.38,2.407527,,,,,,
0.6,0.1149,3.08,0.36,1.212722,,,,,,
0.399,0.0638,2.53,0.28,2.029012,,,,,,
0.4591,0.0675,2.96,0.2,1.634044,,,,,,
0.4371,0.0752,2.45,0.2,1.760351,,,,,,
0.6472,0.0877,3.55,0.31,1.108518,,,,,,
0.4998,0.0765,3.54,0.25,1.45491,,,,,,
0.4008,0.1147,3.81,0.73,1.998856,,,,,,
0.5058,0.0445,3.09,0.09,1.430531,,,,,,
0.747,0.1209,2.97,0.41,1.197272,,,,,,
0.325,0.1095,2.96,0.83,2.718372,,,,,,
0.758,0.0329,3.26,0.08,1.054486,,,,,,
0.9099,0.2495,2.42,0.37,1.90076,,,,,,
0.633,0.1092,3.29,0.28,1.159551,,,,,,
0.44,0.032,4.44,0.26,1.706667,,,,,,
0.5571,0.0409,4.09,0.25,1.260979,,,,,,
1.0709,0.3281,4.44,1.16,2.780534,,,,,,
0.734,0.1254,3.15,0.3,1.193013,,,,,,
0.6242,0.0744,3.32,0.21,1.11936,,,,,,
0.675,0.1448,2.6,0.44,1.215048,,,,,,
0.58,0.1031,2.75,0.19,1.232509,,,,,,
0.954,0.1675,2.19,0.35,2.045838,,,,,,
-0.0504,0.0332,2.29,0.56,18.075877,,,,,,
0.7919,0.1827,2.51,0.4,1.420517,,,,,,
0.4049,0.0805,3.44,0.34,1.98294,,,,,,
0.5258,0.0328,3.69,0.12,1.359965,,,,,,
0.3319,0.0691,3.37,0.29,2.76904,,,,,,
0.1131,0.0978,3.72,0.75,7.529131,,,,,,
0.161,0.0413,3.86,0.52,6.363544,,,,,,
1.1699,0.1241,2.97,0.16,5.68022,,,,,,
0.3111,0.0463,3.86,0.24,3.199046,,,,,,
0.1451,0.0447,3.89,0.2,6.829544,,,,,,
0.015,0.0059,3.95,0.13,9.357963,,,,,,
0.1228,0.0264,5.74,0.4,7.424244,,,,,,
0.7639,0.0951,3.28,0.36,1.166879,,,,,,
1.182,0.2102,3.02,0.33,4.608783,,,,,,
0.6352,0.0543,3.35,0.18,1.082883,,,,,,
0.9191,0.2239,4.92,0.91,1.893044,,,,,,
0.4331,0.0826,3.53,0.38,1.78702,,,,,,
0.4624,0.0512,3.37,0.12,1.610454,,,,,,
0.728,0.0938,2.55,0.24,1.116177,,,,,,
0.5869,0.0747,3.29,0.3,1.190832,,,,,,
0.4958,0.1078,4.33,0.3,1.484545,,,,,,
0.9879,0.1445,2.98,0.29,2.350046,,,,,,
0.3799,0.0932,3.15,0.46,2.184372,,,,,,
1.0711,0.1581,2.95,0.29,3.256989,,,,,,
0.7149,0.1079,3.21,0.38,1.13724,,,,,,
